,Movie,LikeCountMean,LikeCountMax,RetweetCountMean,RetweetCountMax,ReplyCountMean,ReplyCountMax,QuoteCountMean,QuoteCountMax,VerifiedMean,FriendsCountMean,FriendsCountMax,FollowersCountMean,FollowersCountMax,StatusesCountMean,StatusesCountMax,revenue
858,Hunter Killer,4.88,62,1.14,28,0.85,9,0.35,11,0.24,2135.85,26959,132085.21,3634366,91299.08,1353784,31672678.0
859,Hurricane,6.32,96,2.36,56,0.6,7,0.17,5,0.18,1585.93,29102,79940.85,4901829,54712.8,450504,2137751.0
860,Husband & Wife,4.87,151,1.8,71,0.43,4,0.27,8,0.11,2648.56,92699,31316.72,1632065,73951.31,1440222,2839240.0
861,Hustlers,29.63,1793,4.06,282,0.97,16,0.39,27,0.2,1281.57,15046,408391.79,22300944,55395.93,396154,157600000.0
862,I Am Mother,6.51,139,0.83,15,1.18,22,0.21,8,0.07,1552.63,16216,123695.71,10274000,48668.07,529448,643593.0
863,I Am Not Your Negro,25.04,1208,13.28,666,0.52,30,1.34,76,0.38,2855.71,42944,760754.23,54733152,86963.5,503413,7123919.0
864,I Can Only Imagine,3.76,82,0.53,9,0.46,9,0.13,6,0.04,2045.01,59912,5843.18,161424,53608.43,810155,86026201.0
865,I Can Quit Whenever I Want,6.44,61,0.44,5,0.82,14,0.05,1,0.01,2333.08,120922,16660.0,1095441,38131.54,311031,11788968.0
866,I Do... Until I Don't,4.99,115,0.8,14,0.41,8,0.15,3,0.21,2651.62,136077,76774.32,2701366,63818.57,1078186,280668.0
867,I Feel Pretty,7.75,115,1.08,14,0.74,13,0.29,5,0.27,9473.07,292021,266821.81,4783698,66909.62,478331,94539426.0
868,I Used to Go Here,35.15,2994,2.19,177,1.25,45,0.48,29,0.05,1445.72,7493,12774.05,844576,43809.42,423551,17300.0
869,I Want to Eat Your Pancreas,12.93,392,2.87,97,0.78,10,0.42,14,0.06,820.7,10403,105323.77,1675603,52274.7,266866,33748006.0
870,I'm Your Man,10.75,276,1.81,67,0.82,24,0.57,43,0.02,1229.55,10949,13347.31,943291,50713.32,743391,520038.0
871,Idled,5.57,69,1.38,38,0.98,15,0.23,6,0.14,2558.17,78351,20069.02,568954,50127.02,557170,10000.0
872,If Beale Street Could Talk,14.69,240,2.86,59,0.66,13,0.33,3,0.3,3099.9,120922,542131.69,27126452,63119.57,522393,20572691.0
873,If I Were a Boy,4.06,113,1.19,55,0.39,4,0.06,5,0.04,1280.1,43275,38254.25,1146686,42342.61,640900,1162912.0
874,Iliana,3.05,24,0.55,5,0.37,2,0.04,1,0.07,1327.16,15158,18551.69,1186554,28002.28,564596,7872.0
875,Impractical Jokers: The Movie,189.72,3794,28.76,560,10.97,216,5.34,143,0.34,2392.36,91293,460725.93,13055483,53111.26,2016501,10700000.0
